2024-11-19 15:23:03,957 [DEBUG]  Getting transaction 4
2024-11-19 15:23:03,957 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:03,957 [INFO]  Rejestr N odczytany: 5
2024-11-19 15:23:03,963 [WARNING]  Rekord o nazwie - N już istnieje w tej tabeli
2024-11-19 15:23:03,974 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 4, wartosc = 5
2024-11-19 15:23:03,975 [INFO]  Odczyt FLOAT Prad -> Asymetria: Offset = 4, Jednostka = %
2024-11-19 15:23:03,975 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:03,976 [DEBUG]  Running transaction 5
2024-11-19 15:23:03,976 [DEBUG]  SEND: 0x0 0x5 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x4 0x0 0x1
2024-11-19 15:23:03,977 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:03,977 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:03,978 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:03,978 [DEBUG]  RECV: 0x0 0x5 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x6
2024-11-19 15:23:03,979 [DEBUG]  Processing: 0x0 0x5 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x6
2024-11-19 15:23:03,979 [DEBUG]  decode PDU for 4
2024-11-19 15:23:03,979 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:03,980 [DEBUG]  Adding transaction 5
2024-11-19 15:23:03,980 [DEBUG]  Getting transaction 5
2024-11-19 15:23:03,980 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:03,981 [INFO]  Rejestr Asymetria odczytany: 6
2024-11-19 15:23:03,987 [WARNING]  Rekord o nazwie - Asymetria już istnieje w tej tabeli
2024-11-19 15:23:03,996 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 5, wartosc = 6
2024-11-19 15:23:03,997 [INFO]  Odczyt FLOAT Prad -> Czestotliwosc sieci: Offset = 5, Jednostka = Hz
2024-11-19 15:23:03,997 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:03,997 [DEBUG]  Running transaction 6
2024-11-19 15:23:03,998 [DEBUG]  SEND: 0x0 0x6 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x5 0x0 0x1
2024-11-19 15:23:03,998 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:03,998 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:03,999 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:04,000 [DEBUG]  RECV: 0x0 0x6 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x32
2024-11-19 15:23:04,000 [DEBUG]  Processing: 0x0 0x6 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x32
2024-11-19 15:23:04,000 [DEBUG]  decode PDU for 4
2024-11-19 15:23:04,001 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:04,001 [DEBUG]  Adding transaction 6
2024-11-19 15:23:04,001 [DEBUG]  Getting transaction 6
2024-11-19 15:23:04,001 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:04,002 [INFO]  Rejestr Czestotliwosc sieci odczytany: 50
2024-11-19 15:23:04,008 [WARNING]  Rekord o nazwie - Czestotliwosc sieci już istnieje w tej tabeli
2024-11-19 15:23:04,018 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 6, wartosc = 50
