2024-11-19 15:24:52,918 [DEBUG]  Getting transaction 4
2024-11-19 15:24:52,919 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:52,919 [INFO]  Rejestr N odczytany: 1
2024-11-19 15:24:52,923 [WARNING]  Rekord o nazwie - N już istnieje w tej tabeli
2024-11-19 15:24:52,928 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 4, wartosc = 1
2024-11-19 15:24:52,928 [INFO]  Odczyt FLOAT Prad -> Asymetria: Offset = 4, Jednostka = %
2024-11-19 15:24:52,930 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:52,932 [DEBUG]  Running transaction 5
2024-11-19 15:24:52,932 [DEBUG]  SEND: 0x0 0x5 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x4 0x0 0x1
2024-11-19 15:24:52,932 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:52,933 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:52,934 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:52,934 [DEBUG]  RECV: 0x0 0x5 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x2
2024-11-19 15:24:52,934 [DEBUG]  Processing: 0x0 0x5 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x2
2024-11-19 15:24:52,935 [DEBUG]  decode PDU for 4
2024-11-19 15:24:52,935 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:52,936 [DEBUG]  Adding transaction 5
2024-11-19 15:24:52,936 [DEBUG]  Getting transaction 5
2024-11-19 15:24:52,937 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:52,937 [INFO]  Rejestr Asymetria odczytany: 2
2024-11-19 15:24:52,941 [WARNING]  Rekord o nazwie - Asymetria już istnieje w tej tabeli
2024-11-19 15:24:52,945 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 5, wartosc = 2
2024-11-19 15:24:52,946 [INFO]  Odczyt FLOAT Prad -> Czestotliwosc sieci: Offset = 5, Jednostka = Hz
2024-11-19 15:24:52,946 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:52,947 [DEBUG]  Running transaction 6
2024-11-19 15:24:52,947 [DEBUG]  SEND: 0x0 0x6 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x5 0x0 0x1
2024-11-19 15:24:52,948 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:52,948 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:52,949 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:52,949 [DEBUG]  RECV: 0x0 0x6 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x32
2024-11-19 15:24:52,950 [DEBUG]  Processing: 0x0 0x6 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x32
2024-11-19 15:24:52,950 [DEBUG]  decode PDU for 4
2024-11-19 15:24:52,951 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:52,951 [DEBUG]  Adding transaction 6
2024-11-19 15:24:52,951 [DEBUG]  Getting transaction 6
2024-11-19 15:24:52,951 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:52,952 [INFO]  Rejestr Czestotliwosc sieci odczytany: 50
2024-11-19 15:24:52,956 [WARNING]  Rekord o nazwie - Czestotliwosc sieci już istnieje w tej tabeli
2024-11-19 15:24:52,960 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 6, wartosc = 50
2024-11-19 15:24:52,961 [INFO]  Odczyt COILS Pompa 1 zalaczona: Offset = 0, Typ = Output
2024-11-19 15:24:52,961 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:52,962 [DEBUG]  Running transaction 7
2024-11-19 15:24:52,962 [DEBUG]  SEND: 0x0 0x7 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x0 0x0 0x1
2024-11-19 15:24:52,963 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:52,963 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:52,964 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:52,964 [DEBUG]  RECV: 0x0 0x7 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:52,965 [DEBUG]  Processing: 0x0 0x7 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:52,965 [DEBUG]  decode PDU for 1
2024-11-19 15:24:52,966 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:52,966 [DEBUG]  Adding transaction 7
2024-11-19 15:24:52,967 [DEBUG]  Getting transaction 7
2024-11-19 15:24:52,968 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:52,968 [INFO]  COIL Pompa 1 zalaczona status: False
2024-11-19 15:24:52,972 [WARNING]  Rekord o nazwie - Pompa 1 zalaczona już istnieje w tabeli coils
2024-11-19 15:24:52,977 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 1, status_coila = False
2024-11-19 15:24:52,978 [INFO]  Odczyt COILS Zawor 2 otwarty: Offset = 1, Typ = Output
2024-11-19 15:24:52,978 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:52,979 [DEBUG]  Running transaction 8
